daily_study_hours,social_media_hours,tv_hours,part_time_job,sleep_hours,diet_quality,exercise_frequency_weekly,mental_health_rating,extracurricular_participation
2.9,2.3,2.3,0,7.2,2,6.0,0.759772603486,0
3.7,3.4,2.0,0,6.8,1,3.0,0.665585511983,1
4.3,0.9,3.2,0,7.1,0,0.0,0.522150054466,0
3.6,1.4,0.8,0,5.3,2,4.0,0.644572440087,0
3.6,3.1,1.1,0,8.4,1,1.0,0.649641884532,1
2.4,4.3,1.0,0,8.9,0,5.0,0.709336873638,1
2.5,2.9,2.7,0,7.0,2,4.0,0.786507352941,1
1.4,2.1,2.8,0,8.4,1,3.0,0.702400599129,0
6.1,2.5,2.3,0,5.8,0,5.0,0.539552015251,0
1.6,1.0,3.1,0,5.5,1,4.0,0.756440631808,1
2.5,3.2,0.5,0,6.5,0,0.0,0.455789760349,0
2.4,3.6,3.6,0,7.0,1,6.0,0.708480392157,0
4.8,2.0,3.5,0,6.0,2,0.0,0.649645969499,1
3.1,1.9,2.6,1,7.1,1,5.0,0.600687636166,0
5.4,2.8,3.8,0,6.9,2,2.0,0.621002178649,0
2.5,2.0,0.0,0,5.3,2,6.0,0.690882352941,0
3.9,2.4,1.2,0,7.1,2,1.0,0.676454248366,1
2.2,5.0,1.0,0,7.5,0,5.0,0.664741285403,1
6.7,2.2,2.6,0,6.7,2,3.0,0.691533224401,1
1.7,2.1,0.6,1,7.9,1,1.0,0.512013888889,0
4.0,1.7,2.6,0,5.0,1,4.0,0.601055283224,0
4.5,3.4,3.3,1,7.1,2,6.0,0.633227124183,0
4.1,2.3,2.6,1,5.1,1,3.0,0.475540577342,0
3.2,1.7,2.1,0,5.2,2,3.0,0.717765522876,1
3.3,4.1,0.7,0,5.7,0,0.0,0.407760076253,0
3.6,4.2,0.9,0,5.4,2,4.0,0.596053921569,0
3.3,1.8,3.2,0,5.8,0,0.0,0.49042211329,0
4.9,0.3,2.7,1,6.2,2,0.0,0.502904411765,0
6.8,3.7,1.8,0,7.5,0,6.0,0.564791666667,0
2.7,1.7,1.3,0,6.1,0,2.0,0.612237200436,1
1.4,3.4,0.0,0,4.6,1,0.0,0.546544117647,1
3.4,0.1,0.6,0,7.9,1,1.0,0.689513888889,1
7.4,3.6,3.9,0,5.5,1,3.0,0.592189542484,1
2.3,1.0,0.4,0,6.4,1,6.0,0.696587690632,0
6.0,3.4,2.0,1,7.0,1,0.0,0.464997276688,1
6.0,2.5,2.9,0,6.7,0,5.0,0.652705610022,1
2.7,1.4,0.4,0,7.8,1,1.0,0.592028867102,0
4.4,2.0,2.0,1,7.1,2,4.0,0.591982570806,0
5.9,3.3,2.8,1,5.5,2,3.0,0.487988834423,0
2.9,2.6,1.8,0,9.1,2,6.0,0.794240196078,0
3.2,3.2,5.0,0,6.7,2,5.0,0.740103485839,0
2.6,4.9,0.0,1,6.3,1,6.0,0.519742647059,0
2.0,0.6,3.0,0,7.7,0,6.0,0.810400326797,1
2.5,4.4,1.6,0,6.8,1,5.0,0.632086056645,0
1.7,2.6,2.6,0,7.0,2,4.0,0.724768518519,0
3.6,1.4,2.3,0,9.5,2,5.0,0.796794662309,0
2.3,0.9,1.0,0,6.2,1,1.0,0.657351579521,1
3.9,2.3,2.1,0,6.1,0,6.0,0.611662581699,0
1.2,3.6,0.0,0,6.6,0,4.0,0.646323529412,1
4.0,2.3,2.5,0,7.8,1,6.0,0.708323801743,0
4.8,4.3,2.1,0,4.7,1,5.0,0.548280228758,0
0.5,0.8,2.5,1,4.1,0,4.0,0.515713507625,0
4.1,2.5,3.0,0,5.8,2,4.0,0.660216503268,0
5.3,1.0,2.2,0,4.5,1,0.0,0.472813180828,0
1.7,2.9,2.0,0,6.0,2,0.0,0.58525462963,0
6.0,3.6,0.8,0,7.1,2,0.0,0.505969498911,0
4.1,2.0,1.0,0,5.4,2,5.0,0.654961873638,0
2.4,0.0,3.1,0,4.8,2,3.0,0.768572984749,1
3.4,2.7,3.4,0,6.6,2,1.0,0.61974537037,0
4.3,3.0,1.5,0,7.5,2,5.0,0.772589869281,1
3.6,3.0,1.9,0,4.5,2,6.0,0.660868736383,0
4.3,4.0,0.8,0,7.5,1,0.0,0.488469498911,0
2.1,1.2,3.1,0,7.5,2,4.0,0.763867102397,0
3.8,3.3,2.5,0,7.6,2,5.0,0.713103213508,0
1.4,3.9,3.9,1,8.0,2,4.0,0.739946895425,1
3.3,0.4,0.8,0,9.1,2,6.0,0.893616557734,1
2.1,2.9,1.4,0,6.1,1,4.0,0.621806917211,0
2.4,1.9,2.1,0,6.6,0,4.0,0.688133169935,1
5.4,2.4,2.5,0,6.0,1,2.0,0.53674291939,0
5.1,2.9,1.6,0,6.5,1,3.0,0.636828703704,1
4.4,1.9,0.8,0,8.3,2,1.0,0.621079793028,0
1.9,1.7,2.8,0,4.9,1,1.0,0.643577069717,1
3.0,2.5,2.6,0,5.5,1,0.0,0.516202342048,0
5.3,1.2,0.8,0,8.2,1,2.0,0.590822440087,0
3.7,1.2,3.3,0,7.7,0,5.0,0.668594771242,0
7.0,3.3,3.1,0,6.1,2,5.0,0.708021514161,1
4.1,1.1,1.9,0,7.5,2,1.0,0.637670206972,0
3.8,3.3,1.9,0,6.9,0,3.0,0.616714324619,1
3.0,3.1,2.4,1,8.3,1,4.0,0.581989379085,0
3.7,0.4,0.9,0,6.6,1,6.0,0.695539215686,0
3.3,1.7,1.8,0,7.7,0,0.0,0.519056372549,0
4.6,3.9,0.0,0,9.7,0,3.0,0.553198529412,0
4.9,1.3,2.8,0,7.2,2,1.0,0.625635893246,0
2.3,1.9,0.1,0,6.6,1,2.0,0.580268246187,0
1.5,3.1,3.5,0,7.4,1,0.0,0.592256263617,0
0.7,3.4,1.4,1,6.1,0,1.0,0.422137799564,0
4.3,2.2,1.6,0,9.4,2,5.0,0.756571350763,0
1.8,1.8,1.1,0,6.7,2,0.0,0.608281590414,0
0.3,4.2,1.5,0,6.2,2,1.0,0.688178104575,1
4.1,4.6,3.4,0,5.5,0,5.0,0.544267429194,0
7.2,3.7,0.0,0,7.8,2,6.0,0.638566176471,0
3.5,2.6,3.2,1,7.5,1,5.0,0.679392701525,1
4.8,1.5,2.2,0,5.9,1,4.0,0.68726171024,1
3.6,1.5,0.5,0,7.2,1,2.0,0.585752995643,0
3.4,3.1,0.6,0,4.7,1,4.0,0.548263888889,0
4.9,3.0,3.6,0,6.7,2,1.0,0.593112745098,0
3.1,4.2,0.8,0,7.0,2,6.0,0.693395969499,0
3.9,3.3,0.5,0,8.5,1,3.0,0.604208877996,0
4.0,0.7,3.1,0,5.6,2,6.0,0.742212690632,0
2.5,3.8,2.2,0,5.0,2,6.0,0.682224945534,0
5.0,1.3,0.8,0,5.4,2,6.0,0.674241557734,0
3.2,2.0,2.0,0,4.9,1,4.0,0.678159041394,1
2.4,2.8,0.7,0,8.1,1,3.0,0.633017429194,0
4.3,4.9,3.0,0,8.4,1,5.0,0.731687091503,1
2.2,6.2,3.0,0,6.9,2,1.0,0.576870915033,0
3.5,3.2,2.4,0,8.0,0,2.0,0.553790849673,0
3.5,2.3,2.2,0,6.7,1,3.0,0.69020288671,1
5.1,3.1,3.7,0,6.4,1,1.0,0.531689814815,0
4.2,3.6,1.8,1,6.1,1,3.0,0.462549019608,0
3.5,2.1,0.5,1,6.1,2,4.0,0.558767701525,0
4.7,4.7,2.3,0,4.6,2,1.0,0.493007897603,0
5.6,2.8,4.1,0,6.8,2,4.0,0.669417211329,0
4.3,3.1,0.7,0,6.5,2,0.0,0.528863017429,0
3.5,3.3,1.4,0,7.4,1,1.0,0.547101034858,0
1.5,3.0,2.3,0,6.6,1,3.0,0.631353485839,0
1.9,3.5,1.7,1,6.3,1,0.0,0.43353077342,0
3.0,1.8,0.7,0,5.5,0,4.0,0.5511791939,0
2.6,1.8,3.0,0,6.6,1,4.0,0.749812091503,1
3.2,1.2,4.4,0,7.4,2,3.0,0.73621459695,0
3.6,3.0,2.0,0,5.1,1,0.0,0.477350217865,0
4.3,3.4,0.8,0,6.6,2,6.0,0.677219498911,0
3.4,3.0,0.1,0,6.8,1,5.0,0.620231481481,0
4.2,4.5,2.1,0,5.6,0,2.0,0.452618464052,0
3.6,2.5,3.0,0,5.8,0,3.0,0.62404003268,1
0.5,3.3,2.3,0,6.8,1,4.0,0.673375544662,0
2.1,1.2,1.8,0,5.1,1,1.0,0.559607843137,0
3.3,2.0,1.2,1,6.9,0,0.0,0.39454248366,0
1.7,3.3,0.6,0,5.4,1,5.0,0.697013888889,1
4.4,3.5,2.7,1,7.8,1,2.0,0.491727941176,0
5.8,2.1,2.8,0,9.3,1,1.0,0.597253540305,0
5.3,2.4,0.1,0,5.5,2,0.0,0.570452069717,1
3.2,0.7,3.5,0,7.1,2,5.0,0.774756263617,0
5.7,2.1,2.4,0,5.6,1,3.0,0.630592320261,1
3.7,3.6,3.3,1,7.7,2,5.0,0.633594771242,0
3.0,3.2,0.3,0,5.0,2,3.0,0.581503267974,0
2.6,3.1,0.3,0,7.1,2,6.0,0.797937091503,1
3.0,2.6,1.6,0,5.5,1,0.0,0.579512527233,1
2.9,2.5,2.4,1,6.3,0,5.0,0.520004084967,0
3.8,1.7,3.8,0,5.3,2,2.0,0.629862472767,0
3.7,3.3,2.6,1,7.5,1,5.0,0.573849400871,0
3.5,3.0,1.5,1,5.5,2,0.0,0.44170751634,0
4.2,3.1,0.7,0,7.2,2,1.0,0.573127723312,0
5.3,1.9,3.2,0,6.1,1,1.0,0.615752995643,1
4.9,0.0,0.7,0,6.4,1,5.0,0.648899782135,0
1.3,3.8,3.6,1,6.7,1,5.0,0.601642156863,0
0.0,1.9,1.5,0,5.6,1,3.0,0.641597222222,0
4.9,1.5,3.5,0,6.8,1,0.0,0.547256263617,0
1.4,3.3,2.5,0,8.3,1,3.0,0.752956154684,1
3.2,2.0,1.6,0,5.6,1,2.0,0.639733115468,1
1.7,3.8,1.2,0,7.9,0,6.0,0.654027777778,0
0.8,3.2,1.4,0,8.3,2,1.0,0.669123093682,0
4.3,3.3,2.3,0,5.5,0,4.0,0.523816721133,0
4.6,0.9,1.9,0,4.8,2,4.0,0.64009667756,0
2.6,4.0,1.1,0,6.9,2,0.0,0.557913943355,0
0.0,2.8,1.6,0,5.8,1,0.0,0.556203703704,0
2.7,2.1,1.9,0,8.7,2,4.0,0.748626089325,0
4.1,2.7,0.0,0,6.5,1,0.0,0.559522058824,1
1.3,0.4,2.3,1,5.5,2,1.0,0.646132897603,1
3.8,3.0,0.7,0,5.1,1,2.0,0.504561546841,0
3.5,1.3,0.5,0,7.8,1,2.0,0.606267701525,0
4.4,0.9,0.0,0,5.8,1,3.0,0.565477941176,0
3.7,0.7,0.0,0,6.6,1,1.0,0.551580882353,0
2.0,3.8,0.3,0,7.6,1,6.0,0.677900326797,0
5.3,1.7,1.0,0,5.9,1,0.0,0.55691040305,1
3.3,4.3,3.9,0,6.4,1,0.0,0.51891748366,0
3.5,1.9,1.2,0,6.5,0,6.0,0.702888071895,1
2.1,0.5,2.0,0,7.3,0,3.0,0.7106958061,1
2.8,1.2,2.2,1,7.2,1,3.0,0.565680827887,0
2.2,4.0,1.9,0,6.2,0,0.0,0.539324618736,1
3.2,2.3,1.7,1,6.6,0,0.0,0.39058959695,0
6.1,1.8,0.5,0,6.1,2,6.0,0.738510348584,1
1.4,2.7,3.4,0,4.7,0,1.0,0.587539488017,1
1.1,3.1,3.8,0,6.8,2,6.0,0.78875953159,0
5.7,3.8,0.0,0,8.8,1,3.0,0.563161764706,0
3.2,4.2,0.7,0,5.4,2,6.0,0.730149782135,1
2.5,2.1,1.5,0,5.6,1,6.0,0.748729575163,1
5.1,0.9,0.7,0,5.5,1,6.0,0.63099537037,0
2.6,2.0,2.4,0,7.4,1,1.0,0.602173202614,0
6.2,2.8,1.0,0,7.0,1,5.0,0.592903050109,0
4.5,1.3,4.2,0,6.3,1,0.0,0.555935457516,0
2.8,1.4,3.1,0,5.4,0,4.0,0.67526416122,1
6.7,2.9,2.0,0,6.6,2,6.0,0.662019335512,0
2.6,2.4,2.9,0,4.6,1,4.0,0.607080610022,0
4.6,2.5,3.0,0,6.7,1,5.0,0.648892973856,0
3.9,1.6,1.2,0,7.5,2,0.0,0.676454248366,1
5.5,2.2,0.9,1,5.0,1,3.0,0.425024509804,0
5.8,1.4,1.9,0,4.7,2,4.0,0.687045206972,1
3.5,3.6,2.7,0,8.4,1,3.0,0.715735294118,1
2.4,3.7,2.0,0,5.8,2,4.0,0.732901688453,1
4.2,0.3,0.1,0,7.9,0,3.0,0.664238834423,1
2.5,1.4,0.9,0,6.3,2,6.0,0.740465686275,0
6.5,0.7,1.7,0,6.3,2,4.0,0.644854302832,0
3.7,1.7,1.7,0,7.0,1,3.0,0.698016067538,1
3.0,2.4,4.0,0,5.4,0,5.0,0.611318082789,0
3.8,0.8,0.3,0,6.7,1,1.0,0.554885620915,0
1.5,1.4,2.4,0,6.0,2,3.0,0.69783496732,0
2.0,1.3,3.4,1,4.9,1,1.0,0.488201252723,0
5.3,2.7,4.3,0,6.9,1,1.0,0.637049291939,1
2.5,2.6,1.4,0,6.2,0,0.0,0.472873093682,0
1.9,1.6,2.3,0,6.3,1,6.0,0.718044662309,0
4.3,2.7,2.4,1,5.0,1,5.0,0.509048202614,0
5.3,1.8,2.0,0,8.4,2,1.0,0.627350217865,0
4.6,2.2,1.7,0,7.6,1,2.0,0.582758714597,0
5.0,4.5,2.3,0,7.7,2,6.0,0.693963779956,0
2.4,4.1,0.0,0,6.1,1,1.0,0.578272058824,1
1.4,0.9,2.6,1,4.4,0,3.0,0.481937636166,0
5.8,3.5,1.9,0,8.8,1,1.0,0.625170206972,1
3.0,3.5,1.6,0,6.4,1,3.0,0.580137527233,0
3.1,1.1,4.1,0,5.6,2,3.0,0.770409858388,1
5.5,3.5,1.1,1,7.0,2,2.0,0.478612472767,0
4.3,4.3,1.4,0,7.9,1,1.0,0.5267333878,0
4.2,1.2,4.0,0,6.5,1,1.0,0.5901416122,0
6.7,1.4,0.9,0,8.0,1,4.0,0.608848039216,0
2.5,3.7,1.2,1,7.8,2,6.0,0.649285130719,0
4.9,2.8,1.6,0,5.2,2,4.0,0.604733115468,0
3.6,3.2,2.7,0,5.7,2,0.0,0.548970588235,0
3.9,2.9,2.0,0,7.6,1,3.0,0.611431100218,0
5.8,3.0,0.4,0,3.2,1,2.0,0.417322984749,0
4.3,0.9,1.2,0,6.3,1,4.0,0.622520424837,0
4.3,3.8,1.1,0,4.8,1,1.0,0.454163943355,0
5.1,3.9,1.7,1,5.9,1,0.0,0.439560185185,1
3.0,2.2,2.3,0,6.1,0,2.0,0.532382897603,0
2.2,2.4,2.3,1,6.1,0,5.0,0.527750544662,0
1.9,0.7,0.0,0,5.8,2,1.0,0.613345588235,0
0.6,3.1,3.0,0,5.2,2,1.0,0.62073120915,0
6.6,3.2,2.1,0,9.3,1,5.0,0.732140522876,1
1.8,2.4,3.3,1,8.7,1,3.0,0.614624183007,0
3.2,3.8,2.3,0,5.1,1,3.0,0.548853485839,0
3.1,2.1,3.0,0,8.4,2,4.0,0.750363562092,0
4.0,3.2,2.3,1,6.0,2,4.0,0.63348583878,1
4.7,1.3,3.3,1,6.7,2,1.0,0.534072712418,0
4.8,2.5,2.4,1,6.4,2,6.0,0.613974673203,0
2.6,2.3,1.7,0,5.7,1,1.0,0.623677832244,1
3.2,2.8,4.3,0,7.7,1,4.0,0.767233115468,1
3.9,2.1,2.8,0,6.7,1,5.0,0.66578295207,0
3.1,2.3,2.4,1,5.9,1,4.0,0.615224673203,1
5.9,3.5,0.4,0,4.9,2,1.0,0.473683278867,0
4.2,2.0,0.4,0,5.4,1,2.0,0.599308278867,1
4.6,0.6,2.1,0,4.5,0,1.0,0.466184640523,0
4.5,4.6,2.0,0,6.5,1,2.0,0.516467864924,0
5.3,4.2,1.1,1,5.1,2,2.0,0.421516884532,0
3.8,0.9,2.0,1,6.2,1,1.0,0.4756958061,0
1.6,3.3,3.5,1,8.1,2,6.0,0.714241557734,0
4.1,1.9,2.6,0,7.9,1,6.0,0.718040577342,0
2.5,2.8,0.5,1,6.5,0,0.0,0.453289760349,1
2.7,2.9,1.7,0,6.4,1,4.0,0.623163126362,0
4.4,2.2,0.9,0,8.8,2,6.0,0.83443627451,1
5.4,1.6,1.4,0,7.1,1,3.0,0.587946623094,0
3.5,1.7,1.3,0,6.1,2,1.0,0.673119553377,1
4.0,1.4,1.3,0,4.8,1,2.0,0.532421023965,0
6.1,1.5,0.4,0,7.0,0,1.0,0.460153867102,0
3.9,2.4,1.7,1,7.5,2,4.0,0.678861655773,1
7.4,1.6,1.2,0,5.7,1,5.0,0.644689542484,1
4.3,3.3,0.0,0,6.8,1,6.0,0.622242647059,0
0.9,4.3,4.1,0,6.1,2,6.0,0.7567333878,0
4.6,1.8,3.0,0,6.3,1,6.0,0.677017973856,0
4.1,2.8,1.4,0,3.5,2,2.0,0.523387799564,0
5.4,3.1,1.8,0,6.2,0,3.0,0.57324754902,1
4.5,3.1,0.5,0,7.7,1,3.0,0.577370642702,0
3.3,2.6,3.7,0,5.7,0,6.0,0.710329520697,1
1.7,3.4,3.9,1,6.6,2,3.0,0.604027777778,0
3.2,3.1,2.0,0,5.6,1,5.0,0.620034041394,0
2.2,1.0,2.9,0,6.9,2,6.0,0.797889433551,0
2.6,3.5,2.0,0,6.2,2,0.0,0.563122276688,0
4.4,3.6,0.3,0,5.4,1,2.0,0.564297385621,1
6.0,1.6,1.3,0,8.1,1,5.0,0.650876906318,0
4.1,2.5,1.9,1,7.6,1,2.0,0.498920206972,0
1.7,3.3,1.3,0,5.8,1,6.0,0.742384259259,1
4.2,2.2,1.6,0,7.1,1,5.0,0.730836056645,1
5.3,3.8,1.7,0,7.1,2,6.0,0.67790577342,0
2.6,5.3,1.7,1,7.3,2,5.0,0.587427832244,0
3.3,1.6,1.9,0,4.5,2,6.0,0.692412854031,0
3.5,0.8,0.6,0,7.7,2,0.0,0.614624183007,0
2.3,2.9,1.0,0,5.8,2,2.0,0.684851579521,1
4.5,3.4,0.4,0,6.1,1,5.0,0.58026416122,0
3.3,2.2,2.9,1,9.7,2,0.0,0.585977668845,0
4.1,4.2,0.0,0,6.9,2,1.0,0.616397058824,1
2.2,0.9,3.1,0,6.0,1,6.0,0.730227396514,0
2.8,3.3,3.3,0,3.9,2,4.0,0.705102124183,1
4.6,1.8,1.5,0,8.2,1,5.0,0.757295751634,1
2.9,4.6,0.0,1,4.9,2,3.0,0.540073529412,1
6.1,4.9,1.4,0,5.3,2,0.0,0.443718681917,0
2.9,1.6,1.7,0,6.1,2,0.0,0.586508714597,0
3.8,1.8,0.7,0,8.2,1,5.0,0.679561546841,0
4.9,3.5,1.2,0,7.4,2,0.0,0.540682189542,0
1.4,2.0,3.5,0,6.3,1,1.0,0.612145969499,0
0.9,2.4,2.5,0,6.9,1,0.0,0.588654684096,0
1.2,2.5,0.8,1,5.8,2,4.0,0.588800381264,0
5.4,0.2,0.0,0,6.7,1,4.0,0.608455882353,0
2.7,2.5,1.4,0,6.6,2,6.0,0.731218681917,0
7.3,1.7,1.6,0,7.7,1,6.0,0.725505174292,1
2.7,1.9,2.3,0,7.7,1,3.0,0.658302015251,0
3.8,4.2,1.2,0,7.1,2,1.0,0.564468954248,0
5.8,1.0,2.4,0,6.1,1,4.0,0.606952614379,0
6.5,3.5,3.9,0,7.4,0,5.0,0.657446895425,1
6.6,2.2,2.7,0,6.4,2,2.0,0.662279411765,1
5.3,2.2,1.7,0,5.2,1,2.0,0.51040577342,0
5.0,3.4,1.6,1,6.0,2,2.0,0.551718409586,1
4.4,2.9,1.4,0,6.6,1,6.0,0.723718681917,1
4.7,3.2,3.1,1,7.6,1,5.0,0.567984749455,0
2.7,3.7,1.1,0,6.3,1,0.0,0.496774237473,0
2.3,2.1,1.8,0,5.0,1,5.0,0.636703431373,0
3.5,1.8,1.9,0,6.6,1,0.0,0.537633442266,0
3.2,1.2,1.2,0,6.6,1,2.0,0.673807189542,1
2.8,1.5,0.3,0,6.7,1,3.0,0.609407679739,0
4.5,6.0,2.2,1,7.6,0,3.0,0.485680827887,1
4.9,4.0,1.7,0,7.7,1,0.0,0.49621459695,0
3.6,0.9,2.4,0,5.8,0,2.0,0.540151143791,0
5.7,0.9,1.2,0,5.8,0,5.0,0.560314542484,0
1.8,3.1,3.1,0,5.3,2,3.0,0.653536220044,0
3.2,3.2,0.8,0,7.3,2,0.0,0.567881263617,0
2.4,3.2,3.7,0,8.2,2,5.0,0.852461873638,1
0.7,2.2,0.0,0,6.1,1,2.0,0.588897058824,0
3.4,2.3,2.3,0,6.2,2,1.0,0.600949074074,0
3.3,2.9,2.3,1,8.3,2,2.0,0.578963779956,0
5.8,2.6,0.9,1,7.1,2,6.0,0.589730392157,0
4.4,0.0,2.3,0,7.0,1,2.0,0.621427015251,0
2.0,2.2,3.2,0,5.1,2,5.0,0.71336328976,0
6.3,1.5,0.0,0,7.3,2,5.0,0.738198529412,1
5.3,2.7,2.4,1,5.4,2,4.0,0.526401143791,0
4.4,6.1,0.0,0,5.1,0,4.0,0.505477941176,1
3.2,2.9,0.7,0,6.1,1,5.0,0.617024782135,0
2.1,2.1,3.6,0,5.8,1,5.0,0.686899509804,0
2.9,3.6,1.2,0,6.2,1,1.0,0.51910130719,0
5.1,3.1,0.5,1,4.8,2,1.0,0.404282407407,0
6.3,3.0,1.6,0,7.7,0,2.0,0.568777233115,1
5.8,3.2,4.1,0,7.9,0,6.0,0.635887799564,0
2.8,5.0,0.0,1,4.2,1,3.0,0.386838235294,0
1.8,1.1,0.6,1,7.7,0,6.0,0.598999183007,0
3.7,3.1,3.4,1,5.5,1,1.0,0.519451252723,1
0.8,1.4,3.8,1,7.5,2,2.0,0.653428649237,0
4.0,3.2,1.7,0,6.4,1,6.0,0.644596949891,0
3.3,1.4,0.4,0,6.5,0,0.0,0.553940631808,1
2.8,2.0,4.1,1,6.3,1,4.0,0.581328976035,0
1.1,2.1,3.6,1,8.0,1,6.0,0.774546568627,1
4.3,3.7,2.5,0,5.0,0,3.0,0.481779684096,0
2.7,3.6,0.9,0,7.2,2,2.0,0.69818627451,1
1.7,1.0,1.7,0,7.8,2,6.0,0.811435185185,0
0.0,2.6,1.6,0,7.4,2,5.0,0.774953703704,0
3.5,1.6,2.2,0,9.3,2,0.0,0.66332788671,0
6.2,1.0,3.4,0,5.9,0,4.0,0.559708605664,0
6.0,2.2,2.8,1,7.6,2,0.0,0.48434912854,0
2.8,2.1,0.6,0,6.4,2,2.0,0.700102124183,1
2.6,5.4,3.3,0,8.0,2,1.0,0.616756535948,0
4.2,3.0,2.1,0,6.5,0,4.0,0.553243464052,0
2.0,0.8,2.6,0,6.0,2,0.0,0.628224400871,0
4.0,1.8,3.4,0,8.1,2,1.0,0.743532135076,1
4.6,3.7,0.6,0,5.9,2,3.0,0.650837418301,1
5.3,5.0,1.8,0,4.8,0,2.0,0.399387254902,0
3.3,0.6,1.2,1,5.9,2,2.0,0.54579248366,0
3.2,0.2,0.1,1,7.2,2,4.0,0.621260893246,0
2.2,4.7,2.2,0,8.2,2,0.0,0.600644063181,0
2.3,3.0,4.6,0,6.6,1,3.0,0.651309912854,0
3.2,1.5,0.0,0,8.1,2,5.0,0.732904411765,0
4.1,3.1,1.8,0,4.9,1,4.0,0.55868872549,0
4.9,0.0,2.5,1,6.0,1,5.0,0.575566448802,0
2.3,2.5,1.9,1,6.2,1,4.0,0.625684912854,1
5.7,2.9,1.7,0,6.4,2,0.0,0.600221949891,1
3.1,3.6,0.4,0,6.6,0,3.0,0.593720043573,1
3.5,1.3,2.1,0,7.3,1,0.0,0.567471405229,0
2.4,2.6,1.0,0,6.0,2,2.0,0.693711873638,1
0.0,1.4,0.0,0,6.7,2,5.0,0.83625,1
4.8,2.8,3.1,0,6.4,1,1.0,0.533720043573,0
4.6,1.4,2.9,1,5.4,2,6.0,0.700536492375,1
3.1,2.0,1.9,0,6.4,2,2.0,0.715942265795,1
3.6,1.3,2.1,0,6.3,0,2.0,0.620706699346,1
4.3,3.3,3.0,0,6.3,1,5.0,0.709187091503,1
1.2,3.5,2.0,0,6.5,0,4.0,0.595328159041,0
2.7,2.2,2.8,0,6.6,1,2.0,0.607584422658,0
4.7,2.5,1.5,0,6.0,1,6.0,0.632406045752,0
1.6,0.8,3.2,1,8.0,2,3.0,0.67917211329,0
3.9,2.1,2.2,0,5.1,2,2.0,0.591894063181,0
1.5,2.4,2.0,1,5.6,0,3.0,0.473159041394,0
4.2,5.6,0.4,0,9.8,0,0.0,0.541808278867,1
3.4,1.2,2.1,1,5.3,1,4.0,0.611111111111,1
1.1,4.3,0.9,0,4.9,1,3.0,0.550796568627,0
5.2,3.7,1.1,0,7.4,1,2.0,0.610156590414,1
2.4,2.8,0.9,0,4.0,2,4.0,0.688480392157,1
2.3,4.6,0.6,0,6.2,2,6.0,0.677050653595,0
